"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","odds_ratio"
"WP2525","Trans-sulfuration and one carbon metabolism","8/1022","28/4839",0.224525950160984,0.920698826812516,0.861472586491243,"191/1786/1788/1789/25902/4524/6472/7298",8,1.49783037475345
"WP1455","Serotonin Transporter Activity","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"3690/5516/7041",3,2.24455348380765
"WP3875","ATR Signaling","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"1111/5883/11073",3,2.24455348380765
"WP4191","Caloric restriction and aging","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"3479/10891/23411",3,2.24455348380765
"WP4583","Biomarkers for urea cycle disorders","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"2159/2593/162417",3,2.24455348380765
"WP2572","Primary Focal Segmental Glomerulosclerosis FSGS","15/1022","58/4839",0.228867396275626,0.920698826812516,0.861472586491243,"375790/1028/1286/22943/2534/3611/3690/3913/4288/55742/5111/11346/7094/7414/7431",15,1.30736010715688
"WP4657","22q11.2 Deletion Syndrome","15/1022","58/4839",0.228867396275626,0.920698826812516,0.861472586491243,"59/70/8318/7122/2260/9464/5308/5902/65078/6576/6517/6722/27037/7450/7625",15,1.30736010715688
"WP1528","Physiological and Pathological Hypertrophy  of the Heart","7/1022","24/4839",0.229413888363834,0.920698826812516,0.861472586491243,"817/2353/3572/3977/4776/5532/5579",7,1.54158215010142
"WP3640","Imatinib and Chronic Myeloid Leukemia","6/1022","20/4839",0.233557704720861,0.920698826812516,0.861472586491243,"5243/25/3815/4609/5156/6502",6,1.60419010123735
"WP3872","Regulation of Apoptosis by Parathyroid Hormone-related Protein","6/1022","20/4839",0.233557704720861,0.920698826812516,0.861472586491243,"596/83596/599/637/2932/4609",6,1.60419010123735
"WP4538","Regulatory circuits of the STAT3 signaling pathway","17/1022","67/4839",0.235097418060392,0.920698826812516,0.861472586491243,"185/2690/3590/58985/3563/3570/3572/3717/3977/225689/5156/5579/5789/80854/9021/3925/7297",17,1.27440796019901
"WP4658","Small cell lung cancer","22/1022","89/4839",0.235584492112176,0.920698826812516,0.861472586491243,"10000/596/637/330/898/9134/1017/1019/1028/1163/1164/1286/1288/1869/1870/4616/3908/3913/10319/4609/7185/7186",22,1.23134328358209
"WP186","Homologous recombination","4/1022","12/4839",0.235794847415441,0.920698826812516,0.861472586491243,"675/5424/5888/25788",4,1.87082514734774
"WP272","Blood Clotting Cascade","4/1022","12/4839",0.235794847415441,0.920698826812516,0.861472586491243,"2159/2161/2157/7450",4,1.87082514734774
"WP4584","Biomarkers for pyrimidine metabolism disorders","4/1022","12/4839",0.235794847415441,0.920698826812516,0.861472586491243,"1152/80324/6241/7298",4,1.87082514734774
"WP2011","SREBF and miR33 in cholesterol and lipid homeostasis","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"2194/5465/10891/6319/23411",5,1.70108161258604
"WP2878","PPAR Alpha Pathway","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"34/983/1019/4609/5465",5,1.70108161258604
"WP4304","Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"2920/2247/3479/5354/6663",5,1.70108161258604
"WP734","Serotonin Receptor 4/6/7 and NR3C Signaling","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"1958/2908/5906/9252/6722",5,1.70108161258604
"WP2064","Neural Crest Differentiation","16/1022","64/4839",0.264602321898724,0.999930074063124,0.935607086842689,"2247/2260/2932/3066/9759/10014/10013/4286/4359/4487/4602/4609/5376/388/6663/6925",16,1.24884029158383
"WP2374","Oncostatin M Signaling Pathway","16/1022","64/4839",0.264602321898724,0.999930074063124,0.935607086842689,"6347/1017/1958/2353/3572/3717/3726/3727/3977/4312/4322/5579/9021/6777/7078/7297",16,1.24884029158383
"WP3584","MECP2 and Associated Rett Syndrome","13/1022","51/4839",0.268668191587185,0.999930074063124,0.935607086842689,"627/1052/1465/1869/2146/2247/2289/2571/2593/114787/3479/4204/4208",13,1.28128423139116
"WP24","Peptide GPCRs","6/1022","21/4839",0.272789645024472,0.999930074063124,0.935607086842689,"185/623/624/1909/1910/6869",6,1.49685039370079
"WP382","MAPK Signaling Pathway","45/1022","195/4839",0.272925856991294,0.999930074063124,0.935607086842689,"10000/408/627/775/8912/781/783/785/1843/1850/2256/2258/2247/2252/2260/2316/2318/2353/55970/3306/3727/120892/9020/1326/23542/4208/4609/4772/51701/3164/4893/4915/8605/5532/5533/5881/5906/10235/9252/6237/6722/3925/7043/7048/7186",45,1.12599795291709
"WP727","Monoamine Transport","5/1022","17/4839",0.28064120420005,0.999930074063124,0.935607086842689,"995/114907/3690/5516/7041",5,1.55891510980007
"WP136","Phase I biotransformations, non P450","2/1022","5/4839",0.285772930945712,0.999930074063124,0.935607086842689,"1066/2098",2,2.49281045751634
"WP2276","Glial Cell Differentiation","2/1022","5/4839",0.285772930945712,0.999930074063124,0.935607086842689,"5354/11076",2,2.49281045751634
"WP2874","Liver X Receptor Pathway","2/1022","5/4839",0.285772930945712,0.999930074063124,0.935607086842689,"2194/6319",2,2.49281045751634
"WP58","Monoamine GPCRs","2/1022","5/4839",0.285772930945712,0.999930074063124,0.935607086842689,"150/154",2,2.49281045751634
"WP3958","GPR40 Pathway","4/1022","13/4839",0.287586215235435,0.999930074063124,0.935607086842689,"5310/5331/5336/5334",4,1.66251910063305
"WP4211","Transcriptional cascade regulating adipogenesis","4/1022","13/4839",0.287586215235435,0.999930074063124,0.935607086842689,"1052/1959/28999/10365",4,1.66251910063305
"WP4493","Cells and Molecules involved in local acute inflammatory response ","4/1022","13/4839",0.287586215235435,0.999930074063124,0.935607086842689,"718/730/3569/6403",4,1.66251910063305
"WP53","ID signaling pathway","4/1022","13/4839",0.287586215235435,0.999930074063124,0.935607086842689,"898/1017/3398/5933",4,1.66251910063305
"WP4753","Nucleotide Excision Repair","11/1022","43/4839",0.288668808814214,0.999930074063124,0.935607086842689,"3978/5111/5424/5426/5427/5982/5983/5984/5985/6119/7507",11,1.28693743818002
"WP1591","Heart Development","8/1022","30/4839",0.290225800257854,0.999930074063124,0.935607086842689,"2627/9464/4208/4772/4776/5308/6722/6910",8,1.36094674556213
"WP4539","Synaptic signaling pathways associated with autism spectrum disorder","10/1022","39/4839",0.299745088293227,0.999930074063124,0.935607086842689,"10000/627/775/1978/2906/2932/4893/4915/5563/51422",10,1.29071827722502
"WP4022","Pyrimidine metabolism","19/1022","79/4839",0.300328097507354,0.999930074063124,0.935607086842689,"790/1841/5167/953/4830/87178/23649/5424/5426/5427/5436/5437/5557/5558/6241/7083/7298/7371/54963",19,1.1861581920904
"WP3298","Melatonin metabolism and effects","7/1022","26/4839",0.301387118348426,0.999930074063124,0.935607086842689,"1408/2308/2932/5187/8864/8863/23411",7,1.37858439201452
"WP3965","Lipid Metabolism Pathway","7/1022","26/4839",0.301387118348426,0.999930074063124,0.935607086842689,"47/10000/2194/29923/5563/51422/5577",7,1.37858439201452
"WP4204","Tumor suppressor activity of SMARCB1","7/1022","26/4839",0.301387118348426,0.999930074063124,0.935607086842689,"86/1019/2146/5928/6597/6598/6602",7,1.37858439201452
"WP129","Matrix Metalloproteinases","6/1022","22/4839",0.313423162273861,0.999930074063124,0.935607086842689,"4312/4320/4321/4322/7078/7079",6,1.4029281496063
"WP4483","Relationship between inflammation, COX-2 and EGFR","6/1022","22/4839",0.313423162273861,0.999930074063124,0.935607086842689,"10000/2099/4312/4893/5733/5734",6,1.4029281496063
"WP2032","Human Thyroid Stimulating Hormone (TSH) signaling pathway","15/1022","62/4839",0.321510953260271,0.999930074063124,0.935607086842689,"108/898/1017/1019/1869/1958/2353/2775/54331/3717/4609/5144/5906/5909/8458",15,1.19482769549325
"WP2267","Synaptic Vesicle Pathway","8/1022","31/4839",0.324706678082801,0.999930074063124,0.935607086842689,"477/6571/6581/291/81539/2054/6812/6844",8,1.3014321241746
"WP4148","Splicing factor NOVA regulated synaptic proteins","8/1022","31/4839",0.324706678082801,0.999930074063124,0.935607086842689,"375790/57863/2037/3778/5332/5590/5909/2054",8,1.3014321241746
"WP2882","Nuclear Receptors Meta-Pathway","50/1022","222/4839",0.325747953159628,0.999930074063124,0.935607086842689,"5243/5244/34/11214/330/10486/6347/983/1019/1028/1066/80315/1958/2042/2099/2194/2258/2289/2308/4616/2878/2949/1839/3082/3726/3727/8850/23764/4609/89795/2908/5142/5166/5465/10891/5997/6319/6515/6517/201266/55630/8884/6533/6649/10252/5552/2040/7048/7049/1831",50,1.09011627906977
"WP167","Eicosanoid Synthesis","5/1022","18/4839",0.326479271134302,0.999930074063124,0.935607086842689,"4056/5320/5730/5740/5742",5,1.43862037667347
"WP4286","Genotoxicity pathway","12/1022","49/4839",0.332768133185829,0.999930074063124,0.935607086842689,"59/7832/1052/1062/8161/144455/79733/3398/3708/1263/5734/29950",12,1.21380786727321
"WP3414","Initiation of transcription and translation elongation at the HIV-1 LTR","7/1022","27/4839",0.338998676265558,0.999930074063124,0.935607086842689,"3066/9759/10014/4772/4776/5532/5533",7,1.30931034482759
"WP3935","Leptin Insulin Overlap","4/1022","14/4839",0.340712611268609,0.999930074063124,0.935607086842689,"3717/3953/8835/9021",4,1.4958742632613
"WP306","Focal Adhesion","39/1022","173/4839",0.349496348233832,0.999930074063124,0.935607086842689,"10000/596/330/857/894/1286/1288/1292/2316/2318/2534/2932/3082/3479/3611/3678/3679/8516/3680/3690/3908/3913/10319/10398/4638/55742/80310/5156/4660/5579/5881/5906/5649/6696/7094/7148/7414/7450/7791",39,1.09045565661013
"WP2881","Estrogen Receptor Pathway","3/1022","10/4839",0.356189265397442,0.999930074063124,0.935607086842689,"2099/5166/5465",3,1.60241132763213
"WP4535","Envelope proteins and their potential roles in EDMD physiopathology","10/1022","41/4839",0.361187936985075,0.999930074063124,0.935607086842689,"108/196883/111/115/1072/4893/6722/23345/7043/7112",10,1.20680861915084
"WP2113","Type III interferon signaling","2/1022","6/4839",0.372163315856723,0.999930074063124,0.935607086842689,"6773/7297",2,1.86911764705882
"WP3595","mir-124 predicted interactions with cell cycle and differentiation ","2/1022","6/4839",0.372163315856723,0.999930074063124,0.935607086842689,"5725/51804",2,1.86911764705882
"WP3943","Robo4 and VEGF Signaling Pathways Crosstalk","2/1022","6/4839",0.372163315856723,0.999930074063124,0.935607086842689,"54538/9353",2,1.86911764705882
"WP4186","Somatroph axis (GH) and its relationship to dietary restriction and aging","2/1022","6/4839",0.372163315856723,0.999930074063124,0.935607086842689,"2308/23411",2,1.86911764705882
"WP3657","Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex","5/1022","19/4839",0.372981539767396,0.999930074063124,0.935607086842689,"596/1786/1788/1789/6597",5,1.33551060542211
"WP4141","PI3K/AKT/mTOR - VitD3 Signalling","5/1022","19/4839",0.372981539767396,0.999930074063124,0.935607086842689,"2932/4609/5210/5563/6515",5,1.33551060542211
"WP3611","Photodynamic therapy-induced AP-1 survival signaling.","11/1022","46/4839",0.375976615531742,0.999930074063124,0.935607086842689,"596/637/890/898/2252/2353/1839/3569/3726/5156/7186",11,1.17569591634874
"WP28","Selenium Metabolism and Selenoproteins","7/1022","28/4839",0.377156251633749,0.999930074063124,0.935607086842689,"1390/2353/2878/5451/54938/8991/22928",7,1.24663382594417
"WP4481","Resistin as a regulator of inflammation","7/1022","28/4839",0.377156251633749,0.999930074063124,0.935607086842689,"10000/3569/3708/5331/5332/84812/5336",7,1.24663382594417
"WP2366","Butyrate-induced histone acetylation","1/1022","2/4839",0.377830037928192,0.999930074063124,0.935607086842689,"47",1,3.73751224289912
"WP2645","Heroin metabolism","1/1022","2/4839",0.377830037928192,0.999930074063124,0.935607086842689,"1066",1,3.73751224289912
"WP2826","Cocaine metabolism","1/1022","2/4839",0.377830037928192,0.999930074063124,0.935607086842689,"1066",1,3.73751224289912
"WP2943","Hypoxia-mediated EMT and Stemness","1/1022","2/4839",0.377830037928192,0.999930074063124,0.935607086842689,"6935",1,3.73751224289912
"WP4030","SCFA and skeletal muscle substrate metabolism","1/1022","2/4839",0.377830037928192,0.999930074063124,0.935607086842689,"6517",1,3.73751224289912
"WP4284","Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer","1/1022","2/4839",0.377830037928192,0.999930074063124,0.935607086842689,"9134",1,3.73751224289912
"WP2059","Alzheimers Disease","16/1022","69/4839",0.381749900747513,0.999930074063124,0.935607086842689,"6868/322/489/637/775/1020/2906/2932/3708/23385/5331/5332/5532/5533/6263/6622",16,1.12952473836228
"WP3931","ESC Pluripotency Pathways","19/1022","83/4839",0.387246953331721,0.999930074063124,0.935607086842689,"10097/10000/2256/2258/2247/2252/2260/2353/2535/8322/8324/2932/3572/3977/5156/4092/4093/7472/7482",19,1.11083935692921
"WP2291","Deregulation of Rab and Rab Effector Genes in Bladder Cancer","4/1022","15/4839",0.394062223247433,0.999930074063124,0.935607086842689,"25924/5873/94120/94122",4,1.35952848722986
"WP3287","Overview of nanoparticle effects","4/1022","15/4839",0.394062223247433,0.999930074063124,0.935607086842689,"10000/596/3569/5742",4,1.35952848722986
"WP4462","Platelet-mediated interactions with vascular and circulating cells","4/1022","15/4839",0.394062223247433,0.999930074063124,0.935607086842689,"6347/6401/6403/7043",4,1.35952848722986
"WP1539","Angiogenesis","6/1022","24/4839",0.396750834891395,0.999930074063124,0.935607086842689,"284/2247/4846/5156/7010/7078",6,1.24639107611549
"WP3613","Photodynamic therapy-induced unfolded protein response","6/1022","24/4839",0.396750834891395,0.999930074063124,0.935607086842689,"467/811/51726/7184/10130/23645",6,1.24639107611549
"WP4298","Viral Acute Myocarditis","16/1022","70/4839",0.406170608451993,0.999930074063124,0.935607086842689,"25/596/637/835/857/1676/1677/1756/2534/2932/3569/3908/5881/6442/6443/6444",16,1.10831308445623
"WP3850","Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling","7/1022","29/4839",0.415474616467504,0.999930074063124,0.935607086842689,"114907/2932/3479/3488/3611/84557/10891",7,1.18965517241379
"WP2813","Mammary gland development pathway - Embryonic development (Stage 1 of 4)","3/1022","11/4839",0.419796515080144,0.999930074063124,0.935607086842689,"4609/6422/9839",3,1.40174190382728
"WP4792","Purine metabolism","3/1022","11/4839",0.419796515080144,0.999930074063124,0.935607086842689,"1716/3251/3704",3,1.40174190382728
"WP2261","Signaling Pathways in Glioblastoma","18/1022","80/4839",0.423967332282552,0.999930074063124,0.935607086842689,"10000/672/675/894/898/1017/1019/1869/54206/2260/2308/2956/4893/5156/5336/5579/5590/10253",18,1.08581801824958
"WP4540","Pathways Regulating Hippo Signaling","18/1022","80/4839",0.423967332282552,0.999930074063124,0.935607086842689,"64403/1003/2260/2774/3815/26524/4804/4915/5156/5331/5332/5563/51422/5577/5579/5590/7003/7010",18,1.08581801824958
"WP4249","Hedgehog Signaling Pathway","8/1022","34/4839",0.430894803926012,0.999930074063124,0.935607086842689,"408/596/91653/894/1455/8452/8643/8405",8,1.15035654680625
"WP3303","RAC1/PAK1/p38/MMP2 Pathway","14/1022","62/4839",0.438037685008647,0.999930074063124,0.935607086842689,"284/9068/332/1978/2308/4436/4609/4893/5888/6777/3925/7010/7075/10413",14,1.09056712962963
"WP4008","NO/cGMP/PKG mediated Neuroprotection","6/1022","25/4839",0.438443772084916,0.999930074063124,0.935607086842689,"596/817/2906/4846/4881/5138",6,1.18048072938251
"WP3940","One carbon metabolism and related pathways","9/1022","39/4839",0.444001129236894,0.999930074063124,0.935607086842689,"23743/1036/1788/2571/2878/4524/6472/6649/7298",9,1.12152023692004
"WP299","Nuclear Receptors in Lipid Metabolism and Toxicity","4/1022","16/4839",0.44667639799645,0.999930074063124,0.935607086842689,"5243/5244/5465/5914",4,1.24590700720367
"WP4595","Urea cycle and associated pathways","4/1022","16/4839",0.44667639799645,0.999930074063124,0.935607086842689,"162417/5831/10165/10166",4,1.24590700720367
"WP4541","Hippo-Merlin Signaling Dysregulation","21/1022","95/4839",0.446750759963151,0.999930074063124,0.935607086842689,"64403/1003/2260/2305/3678/3679/8516/3680/3690/3815/26524/4609/4804/4893/4915/5156/5332/94274/5577/7003/7010",21,1.06114156114156
"WP4754","IL-18 signaling pathway","48/1022","222/4839",0.453106236341607,0.999930074063124,0.935607086842689,"32/58/59/11096/321/467/596/637/274/330/7832/6347/890/9133/975/2920/1674/2023/2353/1112/2932/3068/26353/3569/3757/10365/84823/9208/4312/4322/4776/3164/51299/5579/5806/8480/22821/23623/9021/10418/6696/83931/3925/6869/7078/7185/10194/80328",48,1.03179211215747
"WP3617","Photodynamic therapy-induced NF-kB survival signaling","7/1022","30/4839",0.453593821400876,0.999930074063124,0.935607086842689,"599/330/332/2920/3569/4312/6401",7,1.1376311844078
"WP1531","Vitamin D Metabolism","2/1022","7/4839",0.453952648610461,0.999930074063124,0.935607086842689,"1593/1717",2,1.49490196078431
"WP3672","LncRNA-mediated mechanisms of therapeutic resistance","2/1022","7/4839",0.453952648610461,0.999930074063124,0.935607086842689,"5243/55384",2,1.49490196078431
"WP3963","Mevalonate pathway","2/1022","7/4839",0.453952648610461,0.999930074063124,0.935607086842689,"39/4598",2,1.49490196078431
"WP4519","Cerebral Organic Acidurias, including diseases","2/1022","7/4839",0.453952648610461,0.999930074063124,0.935607086842689,"137872/501",2,1.49490196078431
"WP399","Wnt Signaling Pathway and Pluripotency","19/1022","86/4839",0.454472351591721,0.999930074063124,0.935607086842689,"894/8061/2535/8322/8324/2932/120892/4609/85407/51701/5048/5516/5521/5579/5590/29127/7472/7482/10009",19,1.06025207958215
"WP3646","Hepatitis C and Hepatocellular Carcinoma","10/1022","44/4839",0.45540496204186,0.999930074063124,0.935607086842689,"330/332/672/1870/2487/3569/3570/4312/4609/6241",10,1.09945361543827
"WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3","13/1022","58/4839",0.455650588772585,0.999930074063124,0.935607086842689,"817/857/6347/3569/9636/4893/5331/5332/5336/5579/5590/6773/7297",13,1.07996916639137
"WP455","GPCRs, Class A Rhodopsin-like","13/1022","58/4839",0.455650588772585,0.999930074063124,0.935607086842689,"150/154/185/623/624/1909/1910/8477/27198/9934/5733/5734/5737",13,1.07996916639137
"WP2865","IL1 and megakaryocytes in obesity","5/1022","21/4839",0.465289434707419,0.999930074063124,0.935607086842689,"6347/2205/1839/114548/8991",5,1.16795722713864
"WP4719","Eicosanoid metabolism via Cyclo Oxygenases (COX)","5/1022","21/4839",0.465289434707419,0.999930074063124,0.935607086842689,"8309/5730/5737/5740/5742",5,1.16795722713864
"WP4225","Pyrimidine metabolism and related diseases","3/1022","12/4839",0.481130404301712,0.999930074063124,0.935607086842689,"790/6241/7298",3,1.2456656853124
"WP3942","PPAR signaling pathway","10/1022","45/4839",0.486552568845093,0.999930074063124,0.935607086842689,"34/8309/1593/2167/2172/3611/4312/5465/6319/10580",10,1.06775832862789
"WP3995","Prion disease pathway","7/1022","31/4839",0.491185904868649,0.999930074063124,0.935607086842689,"596/1879/2260/2534/7184/4208/4684",7,1.08994252873563
"WP3967","miR-509-3p alteration of YAP1/ECM axis","4/1022","17/4839",0.497764149933803,0.999930074063124,0.935607086842689,"1909/10082/7003/10413",4,1.14976575487381
"WP2853","Endoderm Differentiation","24/1022","112/4839",0.505795594256087,0.999930074063124,0.935607086842689,"57198/22943/1789/1847/2146/1112/2308/2627/3087/3251/9682/10459/22823/54892/51701/4830/2908/84295/6422/64321/83595/6925/9760/11169",24,1.0190380761523
"WP3302","eIF5A regulation in response to inhibition of the nuclear export system","1/1022","3/4839",0.509287077671294,0.999930074063124,0.935607086842689,"7514",1,1.86826640548482
"WP4342","Vitamins A and D - action mechanisms","1/1022","3/4839",0.509287077671294,0.999930074063124,0.935607086842689,"5914",1,1.86826640548482
"WP550","Biogenic Amine Synthesis","1/1022","3/4839",0.509287077671294,0.999930074063124,0.935607086842689,"2571",1,1.86826640548482
"WP733","Serotonin Receptor 2 and STAT3 Signaling","1/1022","3/4839",0.509287077671294,0.999930074063124,0.935607086842689,"3717",1,1.86826640548482
"WP364","IL-6 signaling pathway","9/1022","41/4839",0.509627652138112,0.999930074063124,0.935607086842689,"2932/3569/3570/3572/3717/3726/51701/9021/7297",9,1.05086994076999
"WP3878","ATM Signaling Network in Development and Disease ","9/1022","41/4839",0.509627652138112,0.999930074063124,0.935607086842689,"9212/699/983/1020/1111/11200/9759/3150/5591",9,1.05086994076999
"WP2911","miRNA targets in ECM and membrane receptors","5/1022","22/4839",0.509955985423171,0.999930074063124,0.935607086842689,"1291/1292/3913/6383/7148",5,1.09896465961016
"WP4320","The effect of progerin on the involved genes in Hutchinson-Gilford Progeria Syndrome","5/1022","22/4839",0.509955985423171,0.999930074063124,0.935607086842689,"11335/1869/3066/23028/5928",5,1.09896465961016
"WP4357","NRF2-ARE regulation","5/1022","22/4839",0.509955985423171,0.999930074063124,0.935607086842689,"8452/2048/2534/2932/192111",5,1.09896465961016
"WP465","Tryptophan metabolism","6/1022","27/4839",0.519721365903094,0.999930074063124,0.935607086842689,"38/217/316/23498/11185/4129",6,1.06749156355456
"WP2034","Leptin signaling pathway","16/1022","75/4839",0.527975666140062,0.999930074063124,0.935607086842689,"32/1073/1978/2099/2308/2534/2932/3717/3953/4846/5140/5336/5563/8835/9021/6777",16,1.01304040165785
"WP1423","Ganglio Sphingolipid Metabolism","2/1022","8/4839",0.52923088244051,0.999930074063124,0.935607086842689,"30815/6489",2,1.24542483660131
"WP2007","Iron metabolism in placenta","2/1022","8/4839",0.52923088244051,0.999930074063124,0.935607086842689,"55240/7037",2,1.24542483660131
"WP3585","Cytosine methylation","2/1022","8/4839",0.52923088244051,0.999930074063124,0.935607086842689,"1786/4204",2,1.24542483660131
"WP561","Heme Biosynthesis","2/1022","8/4839",0.52923088244051,0.999930074063124,0.935607086842689,"1371/3145",2,1.24542483660131
"WP3941","Oxidative Damage","8/1022","37/4839",0.535146493773912,0.999930074063124,0.935607086842689,"596/715/716/1028/5111/7133/7185/7186",8,1.03053798544515
"WP4312","Rett syndrome causing genes","8/1022","37/4839",0.535146493773912,0.999930074063124,0.935607086842689,"2775/10014/10765/4204/4208/6597/6812/6925",8,1.03053798544515
"WP4673","Genes involved in male infertility","18/1022","85/4839",0.538343473407803,0.999930074063124,0.935607086842689,"5243/3983/596/675/1191/2099/2775/222229/4524/340719/4846/143689/8787/6649/9319/7320/7516/7517",18,1.00344889100315
"WP1434","Osteopontin Signaling","3/1022","13/4839",0.539193661021595,0.999930074063124,0.935607086842689,"3690/9020/6696",3,1.12080471050049
"WP3301","MFAP5-mediated ovarian cancer cell motility and invasiveness","3/1022","13/4839",0.539193661021595,0.999930074063124,0.935607086842689,"3690/8076/6263",3,1.12080471050049
