"set_id","name","GENE.SET","MEAN.ABS.T0","PADOG0","P.MEAN.ABS.T","PVAL"
"WP2023","Cell Differentiation - Index expanded","WP2023",4.65,3.97,0.002,1e-05
"WP2029","Cell Differentiation - Index","WP2029",4.49,3.78,1e-05,1e-05
"WP1991","SRF and miRs in Smooth Muscle Differentiation and Proliferation","WP1991",5.77,4.98,0.002,0.001
"WP2355","Corticotropin-releasing hormone signaling pathway","WP2355",2.65,0.539,0.016,0.005
"WP2361","Gastric Cancer Network 1","WP2361",5.83,5.94,0.02,0.012
"WP4300","Extracellular vesicles in the crosstalk of cardiac cells","WP4300",2.98,1.79,0.025,0.013
"WP554","ACE Inhibitor Pathway","WP554",3.32,3.11,0.015,0.017
"WP1602","Nicotine Activity on Dopaminergic Neurons","WP1602",2.95,2.84,0.025,0.022
"WP289","Myometrial Relaxation and Contraction Pathways","WP289",4.39,3.34,0.027,0.023
"WP466","DNA Replication","WP466",7.06,6.95,0.029,0.026
"WP3996","Ethanol effects on histone modifications","WP3996",2.9,2.75,0.028,0.029
"WP2197","Endothelin Pathways","WP2197",2.33,1.79,0.057,0.031
"WP3944","Serotonin and anxiety-related events","WP3944",3.63,2.35,0.024,0.032
"WP4222","Phosphodiesterases in neuronal function","WP4222",3.35,3.29,0.036,0.032
"WP2516","ATM Signaling Pathway","WP2516",3.11,1.92,0.066,0.034
"WP35","G Protein Signaling Pathways","WP35",3.9,3.17,0.058,0.034
"WP4337","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma","WP4337",3.19,1.59,0.045,0.036
"WP4016","DNA IR-damage and cellular response via ATR","WP4016",4.23,3.94,0.047,0.042
"WP179","Cell Cycle","WP179",4.97,4.06,0.057,0.044
"WP2276","Glial Cell Differentiation","WP2276",2.33,2.36,0.033,0.044
"WP4589","Major receptors targeted by epinephrine and norepinephrine","WP4589",2.52,2.36,0.043,0.044
"WP4481","Resistin as a regulator of inflammation","WP4481",0.837,-1.09,0.215,0.045
"WP170","Nuclear Receptors","WP170",2.26,2.09,0.052,0.055
"WP45","G1 to S cell cycle control","WP45",4.7,3.8,0.076,0.055
"WP2032","Human Thyroid Stimulating Hormone (TSH) signaling pathway","WP2032",1.21,-0.856,0.161,0.056
"WP4545","Oxysterols derived from cholesterol","WP4545",2.36,2.34,0.048,0.056
"WP247","Small Ligand GPCRs","WP247",2.85,2.86,0.046,0.058
"WP3972","PDGFR-beta pathway","WP3972",0.799,-1.47,0.264,0.059
"WP3959","DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM","WP3959",2.85,2.02,0.076,0.06
"WP531","DNA Mismatch Repair","WP531",3.42,3.33,0.06,0.06
"WP236","Adipogenesis","WP236",3.23,2.04,0.071,0.062
"WP2431","Spinal Cord Injury","WP2431",2.99,1.54,0.077,0.063
"WP2446","Retinoblastoma Gene in Cancer","WP2446",6.49,5.76,0.077,0.064
"WP410","Exercise-induced Circadian Regulation","WP410",2.06,2.17,0.043,0.066
"WP734","Serotonin Receptor 4/6/7 and NR3C Signaling","WP734",0.96,-0.0811,0.109,0.067
"WP1530","miRNA Regulation of DNA Damage Response","WP1530",2.94,1.56,0.101,0.069
"WP4535","Envelope proteins and their potential roles in EDMD physiopathology","WP4535",0.883,-0.0123,0.165,0.069
"WP706","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways","WP706",2.09,1.29,0.073,0.069
"WP707","DNA Damage Response","WP707",2.81,1.42,0.105,0.077
"WP516","Hypertrophy Model","WP516",2.58,2.33,0.067,0.079
"WP4760","PKC-gamma calcium signaling pathway in ataxia","WP4760",2.6,2.31,0.071,0.083
"WP206","Fatty Acid Omega Oxidation","WP206",2.59,2.63,0.082,0.086
"WP2332","Interleukin-11 Signaling Pathway","WP2332",-0.0761,-1.89,0.431,0.086
"WP545","Complement Activation","WP545",3.38,3.38,0.086,0.087
"WP1528","Physiological and Pathological Hypertrophy  of the Heart","WP1528",1.68,0.0921,0.12,0.088
"WP2363","Gastric Cancer Network 2","WP2363",2.23,2.1,0.105,0.088
"WP4149","White fat cell differentiation","WP4149",2.24,1.72,0.082,0.089
"WP383","Striated Muscle Contraction Pathway","WP383",3.63,3.71,0.09,0.092
"WP2806","Human Complement System","WP2806",3.42,3.25,0.088,0.097
"WP2815","Mammary gland development pathway - Involution (Stage 4 of 4)","WP2815",1.85,0.685,0.138,0.097
"WP3299","let-7 inhibition of ES cell reprogramming","WP3299",2.08,1.36,0.088,0.098
"WP474","Endochondral Ossification","WP474",2.41,1.81,0.109,0.099
"WP558","Complement and Coagulation Cascades","WP558",3.35,3.36,0.091,0.1
"WP536","Calcium Regulation in the Cardiac Cell","WP536",3.57,3.14,0.112,0.101
"WP2855","Dopaminergic Neurogenesis","WP2855",2.1,1.73,0.118,0.102
"WP2406","Cardiac Progenitor Differentiation","WP2406",2.36,1.51,0.08,0.104
"WP4752","Base Excision Repair","WP4752",1.94,1.95,0.082,0.104
"WP2848","Differentiation Pathway","WP2848",2.55,1.58,0.088,0.107
"WP4240","Regulation of sister chromatid separation at the metaphase-anaphase transition","WP4240",2.93,3.03,0.101,0.107
"WP3893","Development and heterogeneity of the ILC family","WP3893",2.68,2.14,0.069,0.11
"WP2849","Hematopoietic Stem Cell Differentiation","WP2849",2.77,1.98,0.085,0.12
"WP3594","Circadian rhythm related genes","WP3594",1.98,1.21,0.101,0.121
"WP1971","Integrated Cancer Pathway","WP1971",1.86,0.186,0.172,0.123
"WP3591","Sleep regulation","WP3591",2.46,1.3,0.043,0.123
"WP3599","Transcription factor regulation in adipogenesis","WP3599",1.61,0.435,0.103,0.123
"WP34","Ovarian Infertility Genes","WP34",1.46,1.09,0.114,0.126
"WP497","Urea cycle and metabolism of amino groups","WP497",1.96,2,0.094,0.136
"WP727","Monoamine Transport","WP727",1.65,1.24,0.134,0.137
"WP3611","Photodynamic therapy-induced AP-1 survival signaling.","WP3611",1.88,-0.251,0.149,0.138
"WP1423","Ganglio Sphingolipid Metabolism","WP1423",1.56,1.65,0.103,0.148
"WP241","One Carbon Metabolism","WP241",1.69,1.56,0.113,0.149
"WP3947","Serotonin and anxiety","WP3947",2.21,1.06,0.078,0.15
"WP4321","Thermogenesis","WP4321",0.636,-0.11,0.246,0.16
"WP1544","MicroRNAs in cardiomyocyte hypertrophy","WP1544",-0.0823,-1.86,0.536,0.161
"WP1984","Integrated Breast Cancer Pathway","WP1984",0.94,-0.623,0.271,0.161
"WP4560","MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement","WP4560",1.37,0.572,0.201,0.161
"WP2038","Regulation of Microtubule Cytoskeleton","WP2038",1.03,0.327,0.214,0.165
"WP3888","VEGFA-VEGFR2 Signaling Pathway","WP3888",0.532,-0.684,0.256,0.166
"WP3995","Prion disease pathway","WP3995",1.14,-0.0857,0.164,0.166
"WP465","Tryptophan metabolism","WP465",1.73,1.76,0.138,0.168
"WP1545","miRNAs involved in DNA damage response","WP1545",0.93,-0.243,0.274,0.169
"WP1434","Osteopontin Signaling","WP1434",0.816,-0.536,0.267,0.173
"WP560","TGF-beta Receptor Signaling","WP560",1.01,-0.319,0.231,0.175
"WP2011","SREBF and miR33 in cholesterol and lipid homeostasis","WP2011",1.31,0.766,0.153,0.178
"WP2374","Oncostatin M Signaling Pathway","WP2374",0.0586,-2.25,0.478,0.184
"WP4583","Biomarkers for urea cycle disorders","WP4583",1.47,1.48,0.139,0.184
"WP1601","Fluoropyrimidine Activity","WP1601",1.68,1.64,0.177,0.186
"WP1992","Genes targeted by miRNAs in adipocytes","WP1992",1.64,1.42,0.132,0.187
"WP2879","Farnesoid X Receptor  Pathway","WP2879",1.45,1.23,0.162,0.189
"WP4658","Small cell lung cancer","WP4658",0.928,-1.04,0.338,0.19
"WP1541","Energy Metabolism","WP1541",0.838,-0.0844,0.184,0.192
"WP4584","Biomarkers for pyrimidine metabolism disorders","WP4584",1.54,1.52,0.151,0.192
"WP3679","Cell-type Dependent Selectivity of CCK2R Signaling","WP3679",1.83,1.63,0.153,0.193
"WP176","Folate Metabolism","WP176",1.85,0.997,0.171,0.197
"WP186","Homologous recombination","WP186",1.35,1.17,0.158,0.201
"WP3876","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","WP3876",1.04,0.69,0.213,0.203
"WP4224","Purine metabolism and related disorders","WP4224",1.21,1.27,0.152,0.203
"WP3958","GPR40 Pathway","WP3958",1.29,1.09,0.166,0.205
"WP2874","Liver X Receptor Pathway","WP2874",1.23,0.936,0.2,0.206
"WP384","Apoptosis Modulation by HSP70","WP384",1.19,0.15,0.215,0.207
"WP2525","Trans-sulfuration and one carbon metabolism","WP2525",1.44,1.29,0.173,0.212
"WP3584","MECP2 and Associated Rett Syndrome","WP3584",0.977,0.417,0.178,0.212
"WP4698","Vitamin D-sensitive calcium signaling in depression","WP4698",1.38,0.87,0.154,0.218
"WP2064","Neural Crest Differentiation","WP2064",1.36,0.635,0.217,0.221
"WP2059","Alzheimers Disease","WP2059",1.1,0.32,0.239,0.222
"WP3303","RAC1/PAK1/p38/MMP2 Pathway","WP3303",-0.73,-2.6,0.718,0.226
"WP2338","miRNA Biogenesis","WP2338",1,1.06,0.174,0.228
"WP4186","Somatroph axis (GH) and its relationship to dietary restriction and aging","WP4186",0.645,-0.296,0.282,0.23
"WP732","Serotonin Receptor 2 and ELK-SRF/GATA4 signaling","WP732",0.104,-1.06,0.423,0.236
"WP4304","Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS","WP4304",1.35,1.11,0.22,0.237
"WP138","Androgen receptor signaling pathway","WP138",0.225,-0.951,0.367,0.238
"WP3287","Overview of nanoparticle effects","WP3287",1.39,-0.267,0.125,0.246
"WP4482","Vitamin D in inflammatory diseases","WP4482",0.595,-1,0.302,0.247
"WP4493","Cells and Molecules involved in local acute inflammatory response ","WP4493",1.85,1.08,0.18,0.247
"WP4756","Renin Angiotensin Aldosterone System (RAAS)","WP4756",1.07,0.782,0.23,0.25
"WP58","Monoamine GPCRs","WP58",1.11,1.11,0.194,0.255
"WP382","MAPK Signaling Pathway","WP382",0.104,-1.64,0.502,0.256
"WP2881","Estrogen Receptor Pathway","WP2881",0.908,0.348,0.275,0.257
"WP4719","Eicosanoid metabolism via Cyclo Oxygenases (COX)","WP4719",1.41,1.34,0.212,0.258
"WP2840","Hair Follicle Development: Cytodifferentiation (Part 3 of 3)","WP2840",1.56,0.723,0.235,0.259
"WP4259","Disorders of Folate Metabolism and Transport","WP4259",1.2,1.05,0.21,0.261
"WP2814","Mammary gland development pathway - Puberty (Stage 2 of 4)","WP2814",1.13,0.548,0.283,0.266
"WP2485","NAD Biosynthesis II (from tryptophan)","WP2485",1.03,1.06,0.222,0.271
"WP322","Osteoblast Signaling","WP322",1.02,0.73,0.248,0.272
"WP98","Prostaglandin Synthesis and Regulation","WP98",1.63,1.53,0.23,0.273
"WP4172","PI3K-Akt Signaling Pathway","WP4172",0.551,-1.47,0.454,0.277
"WP3298","Melatonin metabolism and effects","WP3298",1.23,0.378,0.238,0.28
"WP4022","Pyrimidine metabolism","WP4022",1.02,1.13,0.228,0.284
"WP24","Peptide GPCRs","WP24",1.66,1.64,0.234,0.288
"WP3875","ATR Signaling","WP3875",0.757,0.678,0.217,0.293
"WP428","Wnt Signaling","WP428",0.825,-0.254,0.316,0.293
"WP53","ID signaling pathway","WP53",1.07,0.524,0.238,0.293
"WP2113","Type III interferon signaling","WP2113",0.793,0.14,0.277,0.294
"WP3892","Development of pulmonary dendritic cells and macrophage subsets","WP3892",1.1,0.866,0.275,0.297
"WP3414","Initiation of transcription and translation elongation at the HIV-1 LTR","WP3414",0.348,-0.354,0.259,0.304
"WP3929","Chemokine signaling pathway","WP3929",-0.0776,-1.73,0.541,0.307
"WP4298","Viral Acute Myocarditis","WP4298",0.599,-1.07,0.349,0.307
"WP3670","Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway","WP3670",0.583,0.296,0.257,0.311
"WP4571","Urea cycle and related diseases","WP4571",0.895,0.925,0.253,0.314
"WP3624","Lung fibrosis","WP3624",1.41,0.593,0.242,0.32
"WP4754","IL-18 signaling pathway","WP4754",0.872,-0.42,0.329,0.32
"WP306","Focal Adhesion","WP306",0.454,-1.16,0.441,0.321
"WP4290","Metabolic reprogramming in colon cancer","WP4290",0.805,0.741,0.272,0.328
"WP4666","Hepatitis B infection","WP4666",-0.596,-3.65,0.623,0.328
"WP2036","TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway","WP2036",-0.0759,-2.1,0.492,0.335
"WP3640","Imatinib and Chronic Myeloid Leukemia","WP3640",0.852,0.308,0.285,0.338
"WP3658","Wnt/beta-catenin Signaling Pathway in Leukemia","WP3658",0.272,-0.379,0.401,0.339
"WP3668","Hypothesized Pathways in Pathogenesis of Cardiovascular Disease","WP3668",0.334,-0.252,0.431,0.341
"WP712","Estrogen signaling pathway","WP712",-0.304,-2.52,0.481,0.341
"WP2371","Parkinsons Disease Pathway","WP2371",0.532,-0.00984,0.299,0.343
"WP2636","Common Pathways Underlying Drug Addiction","WP2636",0.0503,-0.992,0.411,0.343
"WP272","Blood Clotting Cascade","WP272",1.08,1.07,0.286,0.347
"WP3595","mir-124 predicted interactions with cell cycle and differentiation ","WP3595",0.271,0.301,0.297,0.347
"WP4008","NO/cGMP/PKG mediated Neuroprotection","WP4008",0.535,-0.545,0.33,0.349
"WP4204","Tumor suppressor activity of SMARCB1","WP4204",0.728,0.551,0.293,0.351
"WP3646","Hepatitis C and Hepatocellular Carcinoma","WP3646",-0.0122,-1.99,0.525,0.355
"WP1455","Serotonin Transporter Activity","WP1455",0.631,0.451,0.33,0.36
"WP4191","Caloric restriction and aging","WP4191",0.297,-0.316,0.436,0.36
"WP364","IL-6 signaling pathway","WP364",-0.45,-2.26,0.616,0.361
"WP167","Eicosanoid Synthesis","WP167",0.955,0.912,0.287,0.362
"WP2895","Differentiation of white and brown adipocyte   ","WP2895",0.77,0.605,0.311,0.365
"WP3943","Robo4 and VEGF Signaling Pathways Crosstalk","WP3943",-0.127,-0.304,0.51,0.365
"WP4288","MTHFR deficiency","WP4288",0.69,0.334,0.306,0.367
"WP26","Signal Transduction of S1P Receptor","WP26",0.244,-0.254,0.438,0.368
"WP395","IL-4 Signaling Pathway","WP395",-0.389,-2.37,0.609,0.368
"WP3580","Methionine De Novo and Salvage Pathway","WP3580",0.7,0.743,0.287,0.369
"WP3849","MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ","WP3849",-0.471,-1.54,0.623,0.369
"WP2817","Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)","WP2817",0.349,-0.221,0.408,0.37
"WP4211","Transcriptional cascade regulating adipogenesis","WP4211",0.709,0.6,0.325,0.37
"WP2878","PPAR Alpha Pathway","WP2878",0.462,-0.15,0.343,0.371
"WP4629","Computational Model of Aerobic Glycolysis","WP4629",0.431,0.352,0.32,0.373
"WP4538","Regulatory circuits of the STAT3 signaling pathway","WP4538",0.548,-0.488,0.421,0.374
"WP2858","Ectoderm Differentiation","WP2858",0.883,0.741,0.311,0.377
"WP2267","Synaptic Vesicle Pathway","WP2267",0.64,0.758,0.302,0.378
"WP4753","Nucleotide Excision Repair","WP4753",0.473,0.458,0.288,0.378
"WP262","EBV LMP1 signaling","WP262",-0.316,-1.39,0.543,0.379
"WP1591","Heart Development","WP1591",0.52,0.0985,0.399,0.38
"WP1403","AMP-activated Protein Kinase (AMPK) Signaling","WP1403",-0.414,-1.39,0.55,0.384
"WP107","Translation Factors","WP107",0.211,0.286,0.296,0.386
"WP2795","Cardiac Hypertrophic Response","WP2795",-0.518,-2.11,0.699,0.386
"WP2369","Histone Modifications","WP2369",0.567,0.685,0.288,0.387
"WP3878","ATM Signaling Network in Development and Disease ","WP3878",0.265,-0.229,0.339,0.388
"WP2034","Leptin signaling pathway","WP2034",-1.27,-3.54,0.798,0.389
"WP127","IL-5 Signaling Pathway","WP127",-0.414,-2.82,0.603,0.391
"WP117","GPCRs, Other","WP117",1.03,1.06,0.313,0.392
"WP4225","Pyrimidine metabolism and related diseases","WP4225",0.806,0.755,0.312,0.393
"WP2118","Arrhythmogenic Right Ventricular Cardiomyopathy","WP2118",0.689,0.523,0.391,0.394
"WP4147","PTF1A related regulatory pathway","WP4147",0.0857,-0.0368,0.438,0.395
"WP3963","Mevalonate pathway","WP3963",0.406,0.427,0.334,0.399
"WP4480","Role of Altered Glycolysation of MUC1 in Tumour Microenvironment","WP4480",0.335,-1.48,0.381,0.4
"WP524","G13 Signaling Pathway","WP524",-0.124,-0.753,0.475,0.4
"WP2507","Nanomaterial induced apoptosis","WP2507",0.469,-0.619,0.296,0.402
"WP1742","TP53 Network","WP1742",0.708,-0.607,0.355,0.404
"WP4320","The effect of progerin on the involved genes in Hutchinson-Gilford Progeria Syndrome","WP4320",0.241,-0.0357,0.366,0.405
"WP3527","Preimplantation Embryo","WP3527",0.798,0.657,0.31,0.41
"WP411","mRNA Processing","WP411",-0.581,-0.271,0.321,0.412
"WP366","TGF-beta Signaling Pathway","WP366",-0.555,-1.95,0.576,0.413
"WP3941","Oxidative Damage","WP3941",0.391,-0.79,0.422,0.416
"WP4539","Synaptic signaling pathways associated with autism spectrum disorder","WP4539",-0.491,-2.09,0.63,0.42
"WP4685","Melanoma","WP4685",-0.892,-2.88,0.788,0.423
"WP254","Apoptosis","WP254",0.085,-1.38,0.51,0.424
"WP4673","Genes involved in male infertility","WP4673",0.506,0.184,0.361,0.43
"WP3998","Prader-Willi and Angelman Syndrome","WP3998",0.324,-0.0975,0.438,0.431
"WP4269","Ethanol metabolism resulting in production of ROS by CYP2E1","WP4269",-0.127,-0.576,0.531,0.432
"WP2380","Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","WP2380",-0.697,-2.86,0.648,0.436
"WP3657","Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex","WP3657",0.368,-0.356,0.336,0.438
"WP4767","FGFR3 signalling in chondrocyte proliferation and terminal differentiation","WP4767",-0.0514,-1.01,0.537,0.438
"WP51","Regulation of Actin Cytoskeleton","WP51",-0.342,-1.24,0.577,0.439
"WP136","Phase I biotransformations, non P450","WP136",0.634,0.66,0.362,0.444
"WP3301","MFAP5-mediated ovarian cancer cell motility and invasiveness","WP3301",-0.0361,-0.849,0.506,0.446
"WP3613","Photodynamic therapy-induced unfolded protein response","WP3613",0.459,0.421,0.355,0.448
"WP4462","Platelet-mediated interactions with vascular and circulating cells","WP4462",0.42,-0.0615,0.438,0.452
"WP4507","Molybdenum cofactor (Moco) biosynthesis","WP4507",0.286,0.33,0.356,0.453
"WP3585","Cytosine methylation","WP3585",0.349,0.325,0.35,0.454
"WP3932","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway","WP3932",-0.326,-1.77,0.616,0.454
"WP1946","Cori Cycle","WP1946",0.102,-0.0555,0.394,0.455
"WP231","TNF alpha Signaling Pathway","WP231",-0.619,-2.24,0.639,0.456
"WP3672","LncRNA-mediated mechanisms of therapeutic resistance","WP3672",0.135,-0.288,0.506,0.456
"WP28","Selenium Metabolism and Selenoproteins","WP28",0.625,-0.229,0.315,0.457
"WP2911","miRNA targets in ECM and membrane receptors","WP2911",0.247,0.176,0.43,0.461
"WP2447","Amyotrophic lateral sclerosis (ALS)","WP2447",-0.0765,-1.19,0.464,0.462
"WP2865","IL1 and megakaryocytes in obesity","WP2865",0.45,-0.0274,0.47,0.463
"WP4341","Non-genomic actions of 1,25 dihydroxyvitamin D3","WP4341",0.301,-1.59,0.472,0.464
"WP4553","FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma","WP4553",0.165,-0.0706,0.449,0.464
"WP4286","Genotoxicity pathway","WP4286",0.651,0.544,0.39,0.465
"WP4566","Translation inhibitors in chronically activated PDGFRA cells","WP4566",-0.935,-2.53,0.756,0.467
"WP3935","Leptin Insulin Overlap","WP3935",0.027,-0.643,0.532,0.468
"WP698","Glucuronidation","WP698",0.452,0.498,0.382,0.469
"WP3407","FTO Obesity Variant Mechanism","WP3407",0.621,0.509,0.362,0.472
"WP530","Cytokines and Inflammatory Response","WP530",0.695,-0.124,0.392,0.472
"WP3529","Zinc homeostasis","WP3529",0.347,0.443,0.395,0.473
"WP4357","NRF2-ARE regulation","WP4357",0.0647,-0.688,0.5,0.473
"WP15","Selenium Micronutrient Network","WP15",0.667,-0.104,0.384,0.478
"WP2037","Prolactin Signaling Pathway","WP2037",-0.791,-3.34,0.748,0.481
"WP4540","Pathways Regulating Hippo Signaling","WP4540",-0.178,-1.1,0.517,0.482
"WP3940","One carbon metabolism and related pathways","WP3940",0.484,0.339,0.393,0.486
"WP1533","Vitamin B12 Metabolism","WP1533",0.574,-0.398,0.43,0.487
"WP2007","Iron metabolism in placenta","WP2007",0.307,0.365,0.403,0.492
"WP2870","Extracellular vesicle-mediated signaling in recipient cells","WP2870",-0.651,-1.53,0.689,0.492
"WP4657","22q11.2 Deletion Syndrome","WP4657",0.457,0.374,0.42,0.494
"WP2112","IL17 signaling pathway","WP2112",-0.494,-1.87,0.6,0.496
"WP4236","Disorders of the Krebs cycle","WP4236",-0.00205,0.0313,0.402,0.497
"WP4495","IL-10 Anti-inflammatory Signaling Pathway ","WP4495",0.621,-0.679,0.328,0.5
"WP2813","Mammary gland development pathway - Embryonic development (Stage 1 of 4)","WP2813",-0.0789,-0.737,0.553,0.502
"WP585","Interferon type I signaling pathways","WP585",-0.356,-1.75,0.597,0.505
"WP23","B Cell Receptor Signaling Pathway","WP23",-0.974,-2.76,0.732,0.506
"WP2586","Aryl Hydrocarbon Receptor Netpath","WP2586",-0.351,-1.67,0.597,0.51
"WP3971","Role of Osx and miRNAs in tooth development","WP3971",0.0582,-0.153,0.524,0.514
"WP314","Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation","WP314",-0.0226,-0.943,0.531,0.519
"WP3617","Photodynamic therapy-induced NF-kB survival signaling","WP3617",0.0179,-1.15,0.529,0.52
"WP1772","Apoptosis Modulation and Signaling","WP1772",0.15,-1.22,0.493,0.521
"WP4216","Chromosomal and microsatellite instability in colorectal cancer ","WP4216",-0.574,-2.77,0.697,0.521
"WP4249","Hedgehog Signaling Pathway","WP4249",0.119,-0.206,0.455,0.522
"WP183","Proteasome Degradation","WP183",-0.664,-0.485,0.456,0.523
"WP437","EGF/EGFR Signaling Pathway","WP437",-0.795,-2.62,0.637,0.525
"WP3930","EDA Signalling in Hair Follicle Development","WP3930",0.281,0.259,0.446,0.526
"WP4541","Hippo-Merlin Signaling Dysregulation","WP4541",-0.199,-0.887,0.578,0.526
