"set_id","name","GENE.SET","MEAN.ABS.T0","PADOG0","P.MEAN.ABS.T","PVAL"
"WP1539","Angiogenesis","WP1539",-0.525,-1.29,0.653,0.529
"WP4558","Overview of interferons-mediated signaling pathway","WP4558",-0.177,-1.16,0.516,0.529
"WP4312","Rett syndrome causing genes","WP4312",0.164,0.00715,0.431,0.53
"WP4223","Ras Signaling","WP4223",-1.04,-2.61,0.759,0.532
"WP4659","Gastrin Signaling Pathway","WP4659",-1.4,-3.97,0.846,0.532
"WP4518","Gamma-Glutamyl Cycle for the biosynthesis and degradation of glutathione, including diseases","WP4518",0.105,0.104,0.455,0.533
"WP4262","Breast cancer pathway","WP4262",-0.685,-2.73,0.758,0.541
"WP4331","Neovascularisation processes","WP4331",-0.467,-1.36,0.639,0.542
"WP197","Cholesterol Biosynthesis Pathway","WP197",-0.352,-0.332,0.471,0.543
"WP3630","NAD metabolism, sirtuins and aging","WP3630",0.227,-0.463,0.446,0.545
"WP129","Matrix Metalloproteinases","WP129",0.376,0.364,0.475,0.548
"WP3863","T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection","WP3863",-1.01,-2.6,0.662,0.55
"WP4336","ncRNAs involved in Wnt signaling in hepatocellular carcinoma","WP4336",0.0538,-0.685,0.526,0.556
"WP2203","Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway","WP2203",-0.236,-2.45,0.601,0.557
"WP2261","Signaling Pathways in Glioblastoma","WP2261",-1.07,-3.06,0.883,0.558
"WP4746","Thyroid hormones production and their peripheral downstream signalling effects regarding congenital hypothyroidism","WP4746",-0.794,-1.94,0.766,0.564
"WP4533","Transcription co-factors SKI and SKIL protein partners","WP4533",-0.0576,-0.161,0.484,0.568
"WP704","Methylation Pathways","WP704",0.118,0.142,0.457,0.57
"WP3872","Regulation of Apoptosis by Parathyroid Hormone-related Protein","WP3872",0.255,-0.894,0.468,0.571
"WP477","Cytoplasmic Ribosomal Proteins","WP477",-2.33,-2.18,0.545,0.571
"WP404","Nucleotide Metabolism","WP404",-0.241,-0.264,0.484,0.572
"WP4255","Non-small cell lung cancer","WP4255",-1.17,-3.26,0.876,0.577
"WP408","Oxidative Stress","WP408",0.45,-0.492,0.434,0.58
"WP4263","Pancreatic adenocarcinoma pathway","WP4263",-1.56,-3.77,0.894,0.581
"WP3931","ESC Pluripotency Pathways","WP3931",-0.827,-2.54,0.779,0.583
"WP2328","Allograft Rejection","WP2328",-0.751,-1.2,0.567,0.586
"WP1589","Folate-Alcohol and Cancer Pathway Hypotheses","WP1589",-0.0611,-0.302,0.529,0.588
"WP3655","Hypothetical Craniofacial Development Pathway","WP3655",-0.0586,-0.416,0.502,0.588
"WP3596","miR-517 relationship with ARCN1 and USP1","WP3596",-0.025,-0.425,0.469,0.589
"WP4595","Urea cycle and associated pathways","WP4595",-0.0592,-0.0348,0.48,0.595
"WP286","IL-3 Signaling Pathway","WP286",-1.08,-3.01,0.767,0.597
"WP2882","Nuclear Receptors Meta-Pathway","WP2882",0.247,-0.458,0.577,0.597
"WP481","Insulin Signaling","WP481",-1.01,-2.87,0.765,0.598
"WP4148","Splicing factor NOVA regulated synaptic proteins","WP4148",-0.138,-0.183,0.525,0.599
"WP4718","Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways)","WP4718",-0.168,-0.209,0.517,0.599
"WP3853","ERK Pathway in Huntington's Disease","WP3853",-0.81,-1.66,0.729,0.6
"WP2853","Endoderm Differentiation","WP2853",-0.134,-0.408,0.561,0.601
"WP1531","Vitamin D Metabolism","WP1531",-0.0646,-0.153,0.527,0.604
"WP3656","Interleukin-1 Induced Activation of NF-kappa-B","WP3656",-0.144,-0.676,0.523,0.606
"WP500","Glycogen Synthesis and Degradation","WP500",-0.177,-0.372,0.5,0.607
"WP134","Pentose Phosphate Metabolism","WP134",-0.343,-0.32,0.516,0.608
"WP455","GPCRs, Class A Rhodopsin-like","WP455",0.441,0.497,0.517,0.609
"WP313","Signaling of Hepatocyte Growth Factor Receptor","WP313",-0.945,-2.52,0.822,0.61
"WP4724","Omega-9 FA synthesis","WP4724",-0.054,-0.136,0.513,0.615
"WP3927","BMP Signaling Pathway in Eyelid Development","WP3927",-0.439,-1.19,0.638,0.616
"WP678","Arachidonate Epoxygenase / Epoxide Hydrolase","WP678",-0.173,-0.149,0.512,0.616
"WP4792","Purine metabolism","WP4792",-0.233,-0.191,0.52,0.617
"WP3850","Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling","WP3850",-0.323,-1.26,0.628,0.618
"WP4258","LncRNA involvement in canonical Wnt signaling and colorectal cancer","WP4258",-0.197,-0.925,0.6,0.619
"WP561","Heme Biosynthesis","WP561",-0.132,-0.0448,0.518,0.619
"WP2249","Metastatic brain tumor","WP2249",-0.509,-1.29,0.674,0.623
"WP3874","Canonical and Non-Canonical TGF-B signaling","WP3874",-0.532,-1.21,0.625,0.623
"WP1422","Sphingolipid pathway","WP1422",-0.109,-0.0785,0.552,0.626
"WP2291","Deregulation of Rab and Rab Effector Genes in Bladder Cancer","WP2291",-0.0748,0.0435,0.519,0.627
"WP3871","Valproic acid pathway","WP3871",-0.337,-0.369,0.578,0.628
"WP2359","Parkin-Ubiquitin Proteasomal System pathway","WP2359",-0.675,-0.616,0.557,0.63
"WP3634","Insulin signalling in human adipocytes (normal condition)","WP3634",-0.588,-1.22,0.687,0.63
"WP3635","Insulin signalling in human adipocytes (diabetic condition)","WP3635",-0.588,-1.22,0.687,0.63
"WP2035","Follicle Stimulating Hormone (FSH) signaling pathway","WP2035",-0.966,-2.23,0.771,0.634
"WP673","ErbB Signaling Pathway","WP673",-1.59,-3.89,0.929,0.635
"WP400","p38 MAPK Signaling Pathway","WP400",-0.913,-1.94,0.734,0.636
"WP3844","PI3K-AKT-mTOR signaling pathway and therapeutic opportunities","WP3844",-0.83,-2.26,0.768,0.638
"WP3942","PPAR signaling pathway","WP3942",-0.0627,-0.198,0.577,0.64
"WP2456","HIF1A and PPARG regulation of glycolysis","WP2456",-0.474,-0.597,0.58,0.641
"WP4239","Epithelial to mesenchymal transition in colorectal cancer","WP4239",-1.26,-2.43,0.808,0.641
"WP3644","NAD+ metabolism","WP3644",-0.11,-0.137,0.538,0.643
"WP391","Mitochondrial Gene Expression","WP391",-0.697,-0.897,0.566,0.645
"WP4483","Relationship between inflammation, COX-2 and EGFR","WP4483",-1.23,-2.35,0.838,0.645
"WP3967","miR-509-3p alteration of YAP1/ECM axis","WP3967",-0.318,-0.409,0.571,0.646
"WP2864","Apoptosis-related network due to altered Notch3 in ovarian cancer","WP2864",-0.39,-1.02,0.654,0.648
"WP2868","TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer","WP2868",-0.778,-1.78,0.701,0.65
"WP304","Kit receptor signaling pathway","WP304",-0.984,-2.9,0.802,0.65
"WP4534","Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms","WP4534",-0.642,-1.07,0.693,0.65
"WP69","T-Cell antigen Receptor (TCR)  Signaling Pathway","WP69",-1.62,-3.57,0.765,0.654
"WP4496","Signal transduction through IL1R","WP4496",-0.555,-2.31,0.677,0.659
"WP311","Synthesis and Degradation of Ketone Bodies","WP311",-0.219,-0.19,0.555,0.661
"WP2875","Constitutive Androstane Receptor Pathway","WP2875",-0.406,-0.836,0.565,0.662
"WP430","Statin Pathway","WP430",-0.133,-0.153,0.587,0.662
"WP3851","TLR4 Signaling and Tolerance","WP3851",-0.497,-1.68,0.621,0.665
"WP3651","Pathways Affected in Adenoid Cystic Carcinoma","WP3651",-1.1,-1.57,0.712,0.668
"WP2290","RalA downstream regulated genes","WP2290",-0.811,-1.37,0.724,0.679
"WP3865","Novel intracellular components of RIG-I-like receptor (RLR) pathway","WP3865",-0.964,-1.87,0.723,0.683
"WP4747","Netrin-UNC5B signaling Pathway","WP4747",-0.985,-2.22,0.799,0.683
"WP422","MAPK Cascade","WP422",-1.13,-2.47,0.816,0.684
"WP2583","T-Cell Receptor and Co-stimulatory Signaling","WP2583",-0.744,-1.81,0.637,0.685
"WP4141","PI3K/AKT/mTOR - VitD3 Signalling","WP4141",-0.575,-1.63,0.669,0.685
"WP4521","Glycosylation and related congenital defects","WP4521",-0.644,-0.502,0.574,0.685
"WP619","Type II interferon signaling (IFNG)","WP619",-0.96,-1.44,0.668,0.691
"WP49","IL-2 Signaling Pathway","WP49",-1,-3.02,0.802,0.698
"WP3937","Microglia Pathogen Phagocytosis Pathway","WP3937",-1.49,-2.05,0.73,0.702
"WP2436","Dopamine metabolism","WP2436",-0.325,-0.464,0.641,0.704
"WP2857","Mesodermal Commitment Pathway","WP2857",-0.456,-0.747,0.652,0.708
"WP3877","Simplified Depiction of MYD88 Distinct Input-Output Pathway","WP3877",-0.357,-1.09,0.629,0.712
"WP2643","Nanoparticle-mediated activation of receptor signaling","WP2643",-1.64,-3.06,0.88,0.713
"WP2637","Structural Pathway of Interleukin 1 (IL-1)","WP2637",-1.06,-2.88,0.74,0.714
"WP2916","Interactome of polycomb repressive complex 2 (PRC2) ","WP2916",-0.633,-0.627,0.603,0.716
"WP4564","Neural Crest Cell Migration during Development","WP4564",-0.828,-2.19,0.763,0.716
"WP4705","Pathways of nucleic acid metabolism and innate immune sensing","WP4705",-0.475,-0.425,0.641,0.717
"WP185","Integrin-mediated Cell Adhesion","WP185",-1.45,-2.38,0.826,0.718
"WP3969","H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity","WP3969",-0.568,-0.993,0.716,0.718
"WP4271","Vitamin B12 Disorders","WP4271",-0.497,-0.461,0.602,0.718
"WP4297","Thiamine metabolic pathways","WP4297",-0.532,-0.481,0.613,0.718
"WP4210","Tryptophan catabolism leading to NAD+ production","WP4210",-0.224,-0.184,0.604,0.719
"WP3664","Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds","WP3664",-0.58,-1.02,0.689,0.72
"WP4292","Methionine metabolism leading to Sulphur Amino Acids and related disorders","WP4292",-0.505,-0.561,0.636,0.725
"WP363","Wnt Signaling Pathway (Netpath)","WP363",-1.27,-2.47,0.796,0.726
"WP205","IL-7 Signaling Pathway","WP205",-1.24,-2.91,0.819,0.727
"WP4725","Sphingolipid Metabolism (general overview)","WP4725",-0.28,-0.251,0.631,0.727
"WP195","IL-1 signaling pathway","WP195",-1.55,-3.07,0.874,0.729
"WP3","Phytochemical activity on NRF2 transcriptional activation","WP3",-0.682,-1.16,0.738,0.729
"WP78","TCA Cycle (aka Krebs or citric acid cycle)","WP78",-1.24,-1.21,0.65,0.729
"WP3925","Amino Acid metabolism","WP3925",-0.645,-0.61,0.658,0.73
"WP4523","Classical pathway of steroidogenesis, including diseases","WP4523",-0.511,-0.462,0.635,0.73
"WP22","IL-9 Signaling Pathway","WP22",-1.18,-2.56,0.787,0.732
"WP4586","Metabolism of alpha-linolenic acid","WP4586",-0.432,-0.501,0.635,0.732
"WP1584","Type II diabetes mellitus","WP1584",-0.879,-1.51,0.753,0.735
"WP268","Notch Signaling","WP268",-0.701,-0.816,0.675,0.737
"WP3593","MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma","WP3593",-0.719,-0.776,0.682,0.737
"WP3981","miRNA regulation of prostate cancer signaling pathways","WP3981",-1.62,-3.53,0.856,0.741
"WP4301","Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells","WP4301",-1.34,-1.87,0.789,0.741
"WP1559","TFs Regulate miRNAs related to cardiac hypertrophy","WP1559",-1.12,-1.9,0.796,0.743
"WP299","Nuclear Receptors in Lipid Metabolism and Toxicity","WP299",-0.795,-0.903,0.675,0.743
"WP4559","Interactions between immune cells and microRNAs in tumor microenvironment","WP4559",-0.63,-1.46,0.695,0.743
"WP1425","Bone Morphogenic Protein (BMP) Signalling and Regulation","WP1425",-0.558,-0.703,0.673,0.748
"WP4562","Canonical NF-KB pathway","WP4562",-1.01,-2.06,0.748,0.749
"WP2876","Pregnane X Receptor pathway","WP2876",-0.632,-1.07,0.675,0.75
"WP3965","Lipid Metabolism Pathway","WP3965",-0.985,-1.44,0.727,0.75
"WP4389","Bile Acids synthesis and enterohepatic circulation ","WP4389",-0.834,-1.22,0.712,0.75
"WP399","Wnt Signaling Pathway and Pluripotency","WP399",-0.763,-1.86,0.758,0.754
"WP229","Irinotecan Pathway","WP229",-0.407,-0.416,0.677,0.755
"WP2333","Trans-sulfuration pathway","WP2333",-0.6,-0.709,0.657,0.756
"WP4742","Ketogenesis and Ketolysis","WP4742",-0.602,-0.603,0.675,0.757
"WP244","Alpha 6 Beta 4 signaling pathway","WP244",-1.71,-2.98,0.869,0.758
"WP288","NLR Proteins","WP288",-1.4,-1.98,0.814,0.759
"WP1424","Globo Sphingolipid Metabolism","WP1424",-0.338,-0.223,0.658,0.761
"WP501","GPCRs, Class C Metabotropic glutamate, pheromone","WP501",-0.626,-0.568,0.692,0.764
"WP61","Notch Signaling Pathway Netpath","WP61",-0.953,-1.88,0.749,0.764
"WP3926","ApoE and miR-146 in inflammation and atherosclerosis","WP3926",-0.57,-1.15,0.667,0.765
"WP4155","Endometrial cancer","WP4155",-1.63,-3.89,0.93,0.765
"WP2873","Aryl Hydrocarbon Receptor Pathway","WP2873",-0.988,-1.62,0.789,0.771
"WP3286","Copper homeostasis","WP3286",-0.877,-1.57,0.777,0.771
"WP4549","Fragile X Syndrome ","WP4549",-1.63,-2.41,0.864,0.771
"WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling","WP3612",-0.586,-1.6,0.662,0.777
"WP3300","Dual hijack model of Vif in HIV infection","WP3300",-0.745,-0.704,0.683,0.778
"WP4136","Fibrin Complement Receptor 3 Signaling Pathway","WP4136",-1.22,-2.37,0.804,0.779
"WP2324","AGE/RAGE pathway","WP2324",-1.53,-3.55,0.891,0.781
"WP4537","Hippo-Yap signaling pathway","WP4537",-0.513,-0.578,0.684,0.781
"WP2884","NRF2 pathway","WP2884",-0.531,-0.814,0.72,0.783
"WP4721","Eicosanoid metabolism via Lipo Oxygenases (LOX)","WP4721",-0.592,-0.595,0.696,0.786
"WP4478","LTF danger signal response pathway","WP4478",-0.44,-1.63,0.663,0.788
"WP4582","Cancer immunotherapy by CTLA4 blockade","WP4582",-1.26,-2.05,0.837,0.789
"WP75","Toll-like Receptor Signaling Pathway","WP75",-1.67,-3.9,0.897,0.789
"WP4018","Pathways in clear cell renal cell carcinoma","WP4018",-1.19,-1.7,0.796,0.796
"WP4726","Sphingolipid Metabolism (integrated pathway)","WP4726",-0.528,-0.497,0.698,0.796
"WP2533","Glycerophospholipid Biosynthetic Pathway","WP2533",-0.899,-1.08,0.757,0.798
"WP4519","Cerebral Organic Acidurias, including diseases","WP4519",-0.617,-0.571,0.716,0.799
"WP3678","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits","WP3678",-0.976,-1.2,0.803,0.8
"WP2828","Bladder Cancer","WP2828",-1.3,-2.7,0.919,0.804
"WP4542","Overview of leukocyte-intrinsic Hippo pathway functions","WP4542",-0.709,-1.28,0.701,0.806
"WP4565","Neural Crest Cell Migration in Cancer","WP4565",-1.12,-2.44,0.827,0.806
"WP2018","RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway","WP2018",-1.76,-3.7,0.893,0.812
"WP3933","Kennedy pathway from Sphingolipids","WP3933",-0.72,-0.701,0.716,0.812
"WP2854","Gene regulatory network modelling somitogenesis ","WP2854",-0.634,-0.728,0.729,0.816
"WP3934","Leptin and adiponectin","WP3934",-1.12,-1.19,0.744,0.817
"WP4150","Wnt Signaling in Kidney Disease","WP4150",-1.11,-1.66,0.82,0.824
"WP3845","Canonical  and Non-canonical Notch signaling","WP3845",-1.1,-1.25,0.785,0.825
"WP4479","Supression of HMGB1 mediated inflammation by THBD","WP4479",-1.37,-2.33,0.795,0.827
"WP2272","Pathogenic Escherichia coli infection","WP2272",-1.14,-1.55,0.777,0.828
"WP4206","Hereditary leiomyomatosis and renal cell carcinoma pathway","WP4206",-1.36,-1.58,0.816,0.829
"WP2453","TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)","WP2453",-1.36,-1.37,0.746,0.833
"WP3945","TYROBP Causal Network","WP3945",-1.84,-1.87,0.777,0.833
"WP405","Eukaryotic Transcription Initiation","WP405",-1.45,-1.35,0.744,0.833
"WP2805","exRNA mechanism of action and biogenesis","WP2805",-0.878,-0.846,0.738,0.834
"WP357","Fatty Acid Biosynthesis","WP357",-0.95,-1.05,0.746,0.837
"WP3645","NAD+ biosynthetic pathways","WP3645",-0.84,-0.859,0.749,0.846
"WP47","Hedgehog Signaling Pathway Netpath","WP47",-1.02,-0.992,0.76,0.846
"WP696","Benzo(a)pyrene metabolism","WP696",-1.35,-1.34,0.776,0.846
"WP3879","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression","WP3879",-1.89,-2.73,0.876,0.847
"WP4656","Joubert Syndrome","WP4656",-1.59,-1.67,0.774,0.85
"WP4205","MET in type 1 papillary renal cell carcinoma","WP4205",-2.39,-4.04,0.97,0.854
"WP716","Vitamin A and Carotenoid Metabolism","WP716",-0.918,-0.994,0.805,0.854
"WP4585","Cancer immunotherapy by PD-1 blockade","WP4585",-1.82,-2.42,0.808,0.855
"WP4142","Metabolism of Spingolipids in ER and Golgi apparatus","WP4142",-0.927,-0.896,0.789,0.856
"WP100","Glutathione metabolism","WP100",-1.31,-1.39,0.8,0.859
"WP2526","PDGF Pathway","WP2526",-1.99,-3.97,0.927,0.859
"WP3858","Toll-like Receptor Signaling related to MyD88","WP3858",-1.39,-2.15,0.861,0.861
"WP4655","Cytosolic DNA-sensing pathway","WP4655",-1.59,-2.35,0.819,0.861
"WP4522","Metabolic pathway of LDL, HDL and TG, including diseases","WP4522",-0.842,-0.874,0.779,0.863
"WP12","Osteoclast Signaling","WP12",-1.19,-1.41,0.817,0.864
"WP4197","The human immune response to tuberculosis","WP4197",-1.4,-1.84,0.785,0.864
"WP4241","Type 2 papillary renal cell carcinoma","WP4241",-1.25,-1.6,0.837,0.869
"WP4494","Selective expression of chemokine receptors during T-cell polarization","WP4494",-1.58,-1.83,0.804,0.869
"WP80","Nucleotide GPCRs","WP80",-0.764,-0.737,0.781,0.871
"WP4504","Cysteine and methionine catabolism","WP4504",-1.06,-1.12,0.824,0.872
"WP3982","miRNA regulation of p53 pathway in prostate cancer","WP3982",-1.13,-1.89,0.832,0.873
"WP3676","BDNF-TrkB Signaling","WP3676",-1.81,-2.85,0.951,0.874
"WP2572","Primary Focal Segmental Glomerulosclerosis FSGS","WP2572",-1.34,-1.85,0.865,0.876
"WP2942","DDX1 as a regulatory component of the Drosha microprocessor","WP2942",-1.18,-1.3,0.78,0.877
"WP615","Senescence and Autophagy in Cancer","WP615",-1.55,-2.97,0.862,0.879
"WP3614","Photodynamic therapy-induced HIF-1 survival signaling","WP3614",-1.12,-1.55,0.845,0.881
"WP4153","Degradation pathway of sphingolipids, including diseases","WP4153",-1.23,-1.17,0.813,0.881
"WP4217","Ebola Virus Pathway on Host","WP4217",-2.39,-3.15,0.899,0.881
"WP581","EPO Receptor Signaling","WP581",-2.1,-3.12,0.941,0.884
"WP438","Non-homologous end joining","WP438",-1.34,-1.33,0.799,0.888
"WP4561","Cell migration and invasion through p75NTR","WP4561",-1.32,-2.09,0.884,0.891
"WP4722","Glycerolipids and Glycerophospholipids","WP4722",-1.12,-1.09,0.817,0.893
"WP106","Alanine and aspartate metabolism","WP106",-1.07,-1.08,0.821,0.895
"WP3413","NOTCH1 regulation of human endothelial cell calcification","WP3413",-1.18,-1.25,0.855,0.898
"WP2513","Nanoparticle triggered regulated necrosis","WP2513",-1.49,-1.72,0.885,0.906
"WP453","Inflammatory Response Pathway","WP453",-1.94,-2.05,0.851,0.906
"WP691","Tamoxifen metabolism","WP691",-1.28,-1.3,0.849,0.906
"WP4723","Omega-3/Omega-6 FA synthesis","WP4723",-1.41,-1.44,0.847,0.907
"WP111","Electron Transport Chain (OXPHOS system in mitochondria)","WP111",-3.38,-3.27,0.864,0.909
"WP3859","TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition","WP3859",-1.69,-2.2,0.902,0.91
"WP1449","Regulation of toll-like receptor signaling pathway","WP1449",-2.09,-3.95,0.943,0.911
"WP4159","GABA receptor Signaling","WP4159",-1.34,-1.31,0.835,0.911
"WP2877","Vitamin D Receptor Pathway","WP2877",-1.05,-1.53,0.868,0.912
"WP368","Mitochondrial LC-Fatty Acid Beta-Oxidation","WP368",-1.56,-1.6,0.856,0.912
"WP143","Fatty Acid Beta Oxidation","WP143",-1.79,-1.81,0.884,0.919
"WP4396","Nonalcoholic fatty liver disease","WP4396",-2.89,-4.23,0.921,0.921
"WP1433","Nucleotide-binding Oligomerization Domain (NOD) pathway","WP1433",-2.32,-2.82,0.916,0.923
"WP3869","Cannabinoid receptor signaling","WP3869",-1.61,-2.34,0.916,0.924
"WP4146","Macrophage markers","WP4146",-1.96,-1.96,0.864,0.925
"WP3680","Association Between Physico-Chemical Features and Toxicity Associated Pathways","WP3680",-2.27,-3.55,0.971,0.932
"WP1471","Target Of Rapamycin (TOR) Signaling","WP1471",-2.42,-3,0.932,0.936
"WP534","Glycolysis and Gluconeogenesis","WP534",-2.04,-2.12,0.888,0.939
"WP692","Sulfation Biotransformation Reaction","WP692",-1.77,-1.77,0.897,0.939
"WP1982","Sterol Regulatory Element-Binding Proteins (SREBP) signalling","WP1982",-1.82,-2.14,0.912,0.943
"WP4313","Ferroptosis","WP4313",-1.81,-1.81,0.92,0.947
"WP4329","miRNAs involvement in the immune response in sepsis","WP4329",-1.84,-3.22,0.91,0.947
"WP325","Triacylglyceride Synthesis","WP325",-1.77,-1.75,0.9,0.949
"WP3915","Angiopoietin Like Protein 8 Regulatory Pathway","WP3915",-2.67,-4.13,0.97,0.949
"WP43","Oxidation by Cytochrome P450","WP43",-1.88,-1.83,0.924,0.952
"WP4352","Ciliary landscape","WP4352",-3.04,-2.98,0.927,0.952
"WP4674","Head and Neck Squamous Cell Carcinoma","WP4674",-2.59,-4.28,0.979,0.952
"WP4758","Nephrotic syndrome","WP4758",-2.14,-2.12,0.932,0.962
"WP2509","Nanoparticle triggered autophagic cell death","WP2509",-1.9,-2.29,0.917,0.964
"WP710","DNA Damage Response (only ATM dependent)","WP710",-2.87,-4.92,0.987,0.97
"WP702","Metapathway biotransformation Phase I and II","WP702",-2.54,-2.42,0.937,0.972
"WP697","Estrogen metabolism","WP697",-2.58,-2.61,0.96,0.977
"WP4536","Genes related to primary cilium development (based on CRISPR)","WP4536",-2.87,-2.68,0.937,0.98
"WP4324","Mitochondrial complex I assembly model OXPHOS system","WP4324",-3.86,-3.78,0.96,0.983
"WP4532","Intraflagellar transport proteins binding to dynein","WP4532",-2.93,-2.86,0.961,0.983
"WP623","Oxidative phosphorylation","WP623",-3.56,-3.52,0.953,0.984
"WP4577","Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway","WP4577",-3.37,-3.52,0.971,0.991
